威海	617	742	111	209	5797
烟台	471	675	81	226	13654
青岛	468	594	162	342	11064
潍坊	354	509	141	324	16138
日照	391	480	290	401	5359
东营	360	448	42	183	8617
淄博	311	380	147	301	5964
临沂	285	439	275	479	17192
滨州	276	364	26	210	9156
莱芜	281	330	235	290	2246
济南	186	310	115	284	8177
泰安	170	335	240	321	7762
济宁	153	302	299	474	11191
枣庄	235	315	375	473	4564
德州	144	301	79	246	10361
聊城	108	209	177	319	8721
菏泽	66	187	313	460	12256
